Adaptive,CVIRS,Greedy,Greedy_sample,MMC,MML,Random,Random_sample,STM,MASFo,Query
0.403658108,0.404080651,0.403658108,0.403658108,0.404080651,0.404080651,0.403658108,0.403658108,0.403658108,0.381914744,0.381914744
0.422602037,0.475209479,0.537612934,0.379519036,0.400227057,0.400462765,0.453879547,0.429130684,0.710985112,0.446685693,0.429770008
0.452684381,0.504349293,0.648323184,0.342795889,0.404818459,0.372657522,0.490296855,0.452219697,0.813126365,0.446507706,0.416213442
0.489067702,0.515634722,0.715206123,0.337505042,0.407680601,0.36179477,0.52666093,0.490655877,0.838815301,0.44885265,0.396876106
0.512516849,0.53045369,0.753001092,0.336100415,0.399023833,0.359823886,0.551846436,0.515161503,0.857893439,0.47637612,0.385983042
0.536533624,0.542379686,0.784311958,0.346123377,0.39099563,0.34897348,0.580345019,0.535455492,0.874684823,0.502967438,0.38483292
0.566881275,0.550024483,0.810551743,0.359842226,0.387211035,0.350400124,0.600053434,0.552093037,0.890673399,0.517239751,0.390242571
0.601438035,0.559562349,0.836712319,0.374662072,0.388229456,0.355331067,0.62606517,0.564091214,0.899902358,0.526407436,0.396387014
0.625565721,0.568141843,0.858002847,0.389867146,0.389821037,0.366724265,0.651354798,0.580530796,0.904340313,0.54188975,0.3999455
0.664758442,0.573617324,0.878333256,0.404407796,0.391597374,0.377207176,0.672937499,0.595824229,0.908685935,0.534341391,0.406223563
0.69208546,0.573442798,0.895928532,0.41897923,0.397645484,0.381136091,0.688379111,0.611370027,0.912607838,0.542046013,0.418349477
0.717042813,0.574470234,0.908425184,0.428197666,0.398935715,0.388896985,0.704034151,0.62031192,0.914870709,0.543096943,0.426049546
0.739550262,0.573381435,0.915835379,0.436257401,0.4047918,0.393594272,0.719326101,0.627632256,0.915802463,0.546693177,0.439298193
0.755773812,0.575409787,0.92333747,0.44498638,0.408309913,0.398745979,0.735681567,0.639093464,0.917473083,0.553224773,0.444603367
0.77180673,0.576129899,0.931195425,0.457774169,0.413051752,0.404380554,0.743467238,0.647364384,0.917386187,0.565060082,0.447337702
0.778422656,0.581588114,0.935798209,0.465545979,0.418952366,0.409194741,0.750912798,0.649730158,0.917695292,0.586061691,0.455177344
0.790036934,0.582003872,0.939096126,0.480819238,0.426497705,0.414551797,0.758426762,0.65611975,0.917897845,0.596797446,0.46436173
0.802395843,0.582278766,0.941445049,0.495498262,0.431805008,0.416882082,0.765974997,0.65906589,0.918860962,0.600236295,0.471672237
0.815471562,0.583919328,0.941696503,0.509854902,0.437164032,0.422579319,0.769314658,0.663305124,0.919359072,0.609560481,0.483995128
0.824501007,0.585861318,0.941303594,0.521201808,0.442505768,0.428132802,0.773505473,0.668603513,0.920330764,0.618840459,0.495916512
0.826311132,0.586508282,0.941262625,0.531351217,0.449275087,0.432644327,0.776054408,0.672580588,0.920963874,0.618053892,0.509162497
0.830335493,0.589988208,0.941060564,0.54978298,0.453024488,0.440858804,0.778501038,0.677182739,0.921821282,0.626227572,0.522545488
0.840942524,0.591289802,0.9407131,0.56473883,0.46175865,0.443755704,0.782220238,0.67711106,0.922665737,0.628476705,0.536828359
0.846432499,0.590738538,0.940619189,0.585063643,0.477559934,0.448148708,0.783834917,0.679867196,0.922867735,0.639989162,0.544477286
0.846432242,0.589209593,0.939825997,0.61047933,0.492312868,0.451351562,0.786042533,0.683408128,0.923196101,0.647287146,0.559247341
0.849760804,0.587399806,0.939675114,0.637982728,0.526907882,0.455824817,0.790083361,0.685715644,0.923551059,0.650379089,0.574526653
0.85309572,0.58835195,0.938902275,0.648428147,0.561095039,0.458885581,0.792105448,0.685774453,0.924225205,0.658847821,0.592595404
0.853466865,0.590042985,0.938624421,0.667169134,0.607283706,0.464549321,0.794467896,0.687322314,0.92416645,0.656865638,0.611178939
0.862820815,0.593628504,0.938178766,0.683887609,0.661110087,0.470482188,0.79685688,0.685846064,0.923569028,0.663555648,0.633515953
0.8642056,0.595782038,0.937367302,0.708217929,0.711275746,0.4776977,0.797201126,0.687283486,0.92285867,0.669682297,0.660636639
0.870373178,0.598680021,0.936859232,0.727408163,0.749883392,0.4828658,0.79906967,0.687358684,0.923115098,0.678997988,0.678040054
0.875679359,0.600396931,0.936325636,0.737334647,0.793069013,0.490412751,0.800492444,0.688749889,0.922077235,0.691448115,0.695232111
0.876269478,0.601267706,0.936274524,0.75222809,0.831490322,0.497938588,0.802445381,0.690083806,0.92236951,0.694040937,0.710658065
0.881856942,0.601949284,0.935668178,0.767093991,0.85911471,0.507704114,0.804813264,0.693247704,0.92172891,0.701950438,0.725228938
0.888002998,0.601785181,0.935922612,0.786605559,0.876233475,0.514561134,0.807555426,0.693407079,0.921353666,0.701661056,0.733289982
0.892051695,0.6022242,0.935399245,0.818921597,0.882551587,0.52212619,0.809193445,0.694804944,0.921290953,0.710407883,0.756120157
0.894050883,0.60278698,0.934752989,0.842493817,0.887231627,0.533581452,0.811379015,0.696439773,0.920857909,0.716009365,0.76661033
0.897711888,0.602913265,0.933555507,0.860963064,0.890533002,0.54267211,0.81373151,0.696805331,0.920729805,0.72307899,0.771963152
0.899801161,0.603825266,0.932914994,0.879726501,0.893061531,0.552295035,0.815744019,0.699112154,0.920643775,0.724390216,0.783693221
0.901425398,0.604549988,0.932507307,0.891830612,0.895111171,0.562007251,0.816478181,0.698505199,0.920500813,0.729613044,0.792286964
0.901807436,0.606350508,0.932521266,0.905403184,0.895535686,0.57361899,0.81768565,0.700201676,0.920514632,0.737438531,0.811235176
0.901419072,0.606176976,0.93191519,0.915524652,0.896465082,0.584640785,0.817957036,0.704061248,0.920542204,0.73497599,0.811672341
0.902140919,0.605307154,0.932216352,0.921602384,0.898244568,0.596520714,0.818859522,0.704759483,0.919889478,0.737741414,0.818518887
0.902756493,0.605810578,0.931929597,0.923658583,0.901728766,0.611698771,0.821599859,0.706512469,0.919499131,0.738235819,0.821869095
0.903362119,0.606675104,0.931896108,0.923978774,0.904121765,0.619205695,0.82330793,0.707623332,0.918853028,0.741576501,0.82610304
0.905484822,0.607717356,0.931558244,0.926458651,0.905035063,0.635048536,0.826027084,0.710985005,0.919060638,0.745255577,0.834870135
0.907067538,0.609077107,0.930715077,0.927792485,0.908083858,0.640874779,0.828050887,0.711799188,0.918157987,0.745255577,0.840305172
0.909458037,0.610172389,0.930311003,0.930258583,0.909792973,0.64847441,0.827843973,0.712589311,0.917344037,0.748306021,0.852395794
0.909975578,0.612930474,0.929704819,0.931050701,0.912074382,0.662118721,0.829910117,0.713943872,0.916885906,0.748897772,0.860409412
0.911375601,0.613957024,0.92926635,0.930291725,0.916677138,0.669246639,0.831571502,0.714724418,0.916125659,0.748878708,0.866089868
0.912587738,0.614283581,0.928811557,0.930162226,0.920026256,0.671787804,0.832345492,0.716210473,0.915620395,0.753153222,0.872185092
0.9141877,0.615367157,0.928522489,0.930440907,0.922889752,0.674176956,0.833341016,0.716292411,0.915714215,0.753913069,0.887337131
0.914896022,0.615773336,0.927797076,0.930239268,0.923799966,0.681099576,0.834775743,0.716511892,0.914401792,0.756432635,0.899575152
0.916967762,0.615186292,0.926340053,0.930019453,0.925975137,0.68777998,0.835733082,0.718484452,0.913889857,0.756424928,0.908899412
0.918395492,0.615321549,0.925935982,0.929792366,0.927239274,0.690155711,0.837741579,0.718752459,0.913584181,0.758405831,0.919971884
0.920415763,0.615927942,0.925733961,0.930196413,0.928985937,0.696065821,0.839246011,0.719242273,0.913786385,0.759723741,0.923468447
0.921915164,0.616181085,0.92472385,0.930003641,0.929093292,0.699410412,0.84057875,0.719589881,0.913077996,0.766718735,0.924484925
0.923620728,0.616635882,0.924572547,0.930154697,0.929306491,0.70686394,0.842917486,0.720429825,0.912642383,0.76970274,0.927398702
0.924390459,0.616981713,0.924208119,0.929982719,0.929596356,0.71194428,0.84506215,0.721091673,0.912608048,0.769772027,0.927049197
0.925804612,0.618059704,0.923971174,0.929949143,0.929510248,0.71748403,0.845775742,0.722318155,0.91225575,0.778235301,0.926520628
0.927016737,0.619104222,0.923818263,0.929507596,0.930470365,0.719517404,0.845613513,0.724238089,0.912673751,0.78302977,0.92652066
0.927622812,0.620485237,0.923378585,0.92872702,0.93042022,0.721764254,0.84581325,0.724964219,0.912928389,0.783381094,0.92593788
0.928228871,0.621511147,0.923047319,0.927968973,0.930445525,0.725964263,0.847545628,0.726464714,0.912237216,0.783487578,0.92593788
0.928530334,0.623247324,0.922154383,0.927631541,0.930709224,0.728540276,0.848514149,0.727478233,0.911684073,0.796894847,0.925500245
0.928478442,0.624376569,0.921699106,0.927042549,0.931033927,0.730408679,0.850976863,0.728374554,0.911499049,0.796132045,0.925353154
0.929587902,0.62518998,0.921088738,0.926781487,0.931087566,0.731469202,0.852089835,0.728850858,0.911313755,0.801700648,0.925353154
0.929537202,0.627582778,0.920684693,0.926113246,0.931019584,0.731438895,0.854009578,0.729046037,0.911379213,0.823833767,0.925204601
0.929830313,0.630405427,0.920801982,0.925840665,0.930675466,0.734065316,0.855876989,0.729688184,0.911093738,0.827083286,0.92389487
0.931042467,0.633602045,0.920126846,0.925479287,0.930644362,0.735193504,0.857521939,0.731180578,0.910778946,0.834314955,0.923671448
0.931394207,0.635352863,0.919417907,0.925128335,0.930558765,0.738373866,0.859636943,0.732246425,0.90987946,0.836063285,0.923378899
0.931089003,0.638163639,0.918927447,0.924863481,0.930420958,0.738777915,0.860848287,0.733546397,0.908841707,0.840882371,0.923378899
0.931055241,0.639378624,0.919111765,0.925091826,0.930317774,0.739131336,0.86235999,0.733866163,0.908274525,0.841118153,0.923280924
0.931011874,0.641128939,0.919193206,0.924698927,0.931125855,0.739526625,0.863428172,0.734649713,0.908457661,0.846947117,0.922893556
0.931356697,0.643705875,0.919223514,0.924394208,0.931098824,0.742118927,0.866133253,0.7356539,0.907234905,0.849172007,0.92274208
0.93110594,0.644603991,0.919248079,0.924054747,0.931048124,0.744289635,0.868353079,0.736087415,0.907270804,0.854046508,0.921946458
0.930962537,0.648659066,0.919108681,0.923409013,0.930945463,0.750811594,0.870141496,0.736627581,0.906132692,0.861474573,0.92158178
0.930894855,0.650998761,0.9184499,0.922653312,0.930945463,0.752683582,0.872302249,0.737308061,0.905360363,0.865932373,0.921484382
0.930894855,0.653042467,0.9184499,0.922653312,0.930868288,0.754583027,0.873737617,0.737951748,0.904872734,0.870012551,0.921484382
0.93061454,0.65563344,0.9184499,0.922702532,0.930868288,0.758017742,0.875413299,0.739734044,0.904450129,0.873661759,0.921261657
0.930530076,0.659054782,0.918415631,0.922870786,0.930868288,0.759420463,0.87699954,0.74226304,0.903619053,0.875559139,0.920726573
0.930328055,0.66181184,0.918110686,0.922616695,0.930868288,0.762607722,0.878405809,0.742731143,0.903560073,0.877973157,0.920214529
